Years_of_Experience,Education_Level,Job_Complexity,Work_Hours_Per_Week,Company_Size,Salary (Euros),Buyer_Income (Euros),Job_Satisfaction
38,2,5,45,Medium,130419.0,117125.09,Yes
28,1,5,59,Medium,97704.0,88058.75,Yes
14,2,9,41,Medium,95088.0,92752.97,No
7,3,10,32,Medium,94073.0,101334.01,No
20,3,2,40,Medium,95626.0,107042.73,No
38,1,2,43,Medium,114176.0,99931.21,Yes
18,2,6,47,Medium,83467.0,80790.31,Yes
22,1,9,50,Medium,101888.0,89668.95,Yes
10,1,1,50,Medium,56160.0,48015.55,Yes
10,2,9,34,Small,73978.0,77567.09,No
23,2,9,45,Large,115110.0,118647.89,No
35,2,9,49,Medium,132422.0,119034.9,Yes
39,3,5,34,Large,135221.0,124422.77,Yes
23,1,9,32,Medium,108309.0,92832.98,Yes
2,1,4,41,Medium,44172.0,48610.59,No
21,3,2,30,Small,84882.0,96969.81,No
1,2,6,50,Small,53632.0,47766.69,Yes
23,3,4,58,Large,105795.0,97272.43,Yes
29,3,6,38,Small,117607.0,130605.26,No
37,3,3,58,Small,111358.0,125605.05,No
1,1,6,38,Large,64894.0,63329.29,Yes
20,3,2,33,Small,82039.0,70979.06,Yes
32,1,2,32,Medium,93250.0,80364.49,Yes
11,1,9,46,Large,85041.0,86927.63,No
21,1,7,31,Large,105581.0,102188.53,Yes
24,2,3,53,Medium,93538.0,80311.33,Yes
26,1,1,30,Small,74887.0,76757.36,No
27,1,8,37,Large,113476.0,96839.37,Yes
15,2,6,42,Large,88262.0,95871.21,No
14,1,7,52,Medium,74038.0,69738.6,No
2,3,9,44,Medium,73096.0,63014.41,Yes
36,3,5,37,Small,124126.0,127416.04,No
6,1,1,41,Large,56080.0,54358.64,Yes
20,2,10,51,Small,92827.0,106021.44,No
8,3,7,41,Small,80773.0,81844.02,No
38,2,5,43,Medium,131111.0,122270.42,Yes
17,2,3,44,Large,95169.0,101148.63,No
3,3,9,44,Large,82132.0,76501.65,Yes
24,2,1,38,Large,90917.0,101942.78,No
13,3,1,48,Medium,71439.0,68754.08,Yes
8,2,1,55,Medium,60745.0,61653.78,Yes
25,3,3,49,Medium,108732.0,94071.87,Yes
1,1,6,58,Medium,56029.0,54787.19,Yes
19,3,10,51,Medium,115226.0,126715.08,No
27,3,3,37,Large,109483.0,119522.0,No
6,3,8,50,Small,77970.0,71521.54,Yes
7,3,10,48,Large,101124.0,92814.01,Yes
34,2,2,35,Small,98161.0,107505.1,No
13,1,9,49,Medium,79126.0,89342.71,No
16,3,3,54,Small,85178.0,74838.1,Yes
35,2,5,58,Large,125337.0,123459.15,No
39,1,10,48,Large,146233.0,139102.14,Yes
